documento,name,last_name,sex,address,age,vaccinated,employment
15000000,PEDRO ISIDRO,BOZALONGO,M,0-L,53,True,Civil Engineer
15000001,ANDREEA IOANA,PIS,F,1-R,62,True,Operator
15000002,OSWALDO JAVIER,CANELADA,M,2-R,70,False,Nurse
15000003,NUNO JORGE,MONGE,M,3-R,40,True,Civil Engineer
15000004,ANDREEA MARIA,MELO,F,4-L,89,True,Coffee grower
15000005,MAHFOUD,ESCOLA,M,5-L,67,True,Farmer
15000006,ADELA CONCEPCION,LICERAN,F,6-L,52,False,Fireman
15000007,MARIA LUCRECIA,CANALEJAS,F,7-L,30,True,Farmer
15000008,DOLORES AMALIA,FONTRODONA,F,8-L,90,True,Degree in biology
15000009,YONAY,NOGAL,M,9-R,12,True,Civil Engineer
15000010,BRIAN STEVEN,SIMO,M,10-R,63,False,Baker
15000011,QUN,FONCILLAS,F,11-R,12,True,Business Administrator
15000012,JENICA,ALDOMAR,F,12-L,48,False,Bachelor's degree in languages
15000013,WENHUA,TUMBACO,M,13-R,39,True,Petroleum engineer
15000014,JUAN P,RIDER,M,14-L,87,False,Nurse
15000015,JOSE PEDRO,GEVORGYAN,M,15-R,38,True,Operator
15000016,FABIAN FERNANDO,RUBAL,M,16-R,68,False,Medico
15000017,ALICIA LAURA,PESUDO,F,17-L,83,True,Petroleum engineer
15000018,EMERENCIA,HOSTALET,F,18-L,53,True,Baker
15000019,EKHIÑE,JENSEN,F,19-L,12,True,Business Administrator
15000020,CARIM,OLGUIN,M,20-R,80,False,Coffee grower
15000021,ZINEDDINE,HUGHES,M,21-R,43,True,Medico
15000022,DAVID MANUEL,HANIF,M,22-R,25,True,Civil Engineer
15000023,ALBERTO LUIS,JUSTE,M,23-R,14,False,Medico
15000024,BEATRIZ EUGENIA,CHOVA,F,24-R,15,False,Coffee grower
15000025,FORTUNA,CEREZO,F,25-R,43,False,Nurse
15000026,NOA MARIA,ADU,F,26-R,68,False,Police
15000027,ROBERT STEFAN,TESORERO,M,27-R,37,False,Degree in social sciences
15000028,SAIDIA,LALE,F,28-L,36,False,industrial engineer
15000029,ABDELMALAK,ABDELKADER,M,29-L,15,True,Bachelor of Arts
15000030,ROSA ELIANA,IÑIGUEZ,F,30-L,72,True,Civil Engineer
15000031,ANTONIA ALICIA,DAPIA,F,31-L,89,False,Civil Engineer
15000032,MELCA,DIOGO,F,32-R,83,False,Operator
15000033,JOANNE LESLEY,RENESES,F,33-R,19,False,Operator
15000034,EMILIA JOSEFA,HORCAJO,F,34-R,52,False,Petroleum engineer
15000035,MARIA ISABELLE,BURGALETA,F,35-R,89,True,Coffee grower
15000036,ZAIRA CARMEN,DEL ROSAL,F,36-L,63,False,Petroleum engineer
15000037,TIAN,DANILA,F,37-L,73,True,Business Administrator
15000038,KENNETH ARTHUR,FERNANDEZ DEL CAMPO,M,38-L,31,True,Bachelor of Arts
15000039,FLORINA MIRELA,MAJOLERO,F,39-L,87,True,Civil Engineer
15000040,MANSOURA,SANCHEZ VIZCAINO,F,40-L,63,False,Civil Engineer
15000041,JUAN ANDRES,BELU,M,41-R,85,True,Nurse
15000042,NATALIA ESTEFANIA,ARAGUZ,F,42-R,65,False,Bachelor's degree in languages
15000043,ARPAD,REFOLIO,M,43-L,49,True,Degree in social sciences
15000044,CIRILO,SANSEGUNDO,M,44-L,37,True,Software Developer
